epoch,acc,loss,val_acc,val_loss
0,0.6367347085,0.8786031538,0.6644067928,0.9023316846
1,0.6840000141,0.7030605328,0.7084745894,0.5780250708
2,0.720000014,0.6270348576,0.6033898433,0.9047894948
3,0.6680000117,0.6049197397,0.6745762873,0.6500599892
4,0.6960000145,0.5922107154,0.732203403,0.5596520231
5,0.668000015,0.6118226835,0.6881356088,0.6597441738
6,0.704000015,0.5681528401,0.6915254396,0.7632792759
7,0.6897959335,0.6004132981,0.6915254386,0.5606187244
8,0.708000015,0.5886915523,0.6949152694,0.6440134266
9,0.7080000144,0.5812228978,0.6949152701,0.8897198221
10,0.6920000139,0.5764754432,0.7050847618,0.6686743614
11,0.693877565,0.6244696202,0.6881356085,0.7951151456
12,0.7061224641,0.6075598141,0.7186440825,0.5600165071
13,0.7480000126,0.5486415339,0.7118644219,0.6321287026
14,0.7387755246,0.5519355584,0.7220339129,0.5674657296
15,0.7240000153,0.5258424059,0.7322034038,0.5836216095
16,0.692000016,0.5800039744,0.7525423856,0.5027719713
17,0.7440000141,0.5176169547,0.7457627245,0.5180708834
18,0.738775523,0.523062137,0.6915254401,0.5558604229
19,0.7440000126,0.5578081423,0.7084745899,0.5458132382
20,0.7640000102,0.4835813975,0.7389830631,0.5414054942
21,0.7560000104,0.5195004955,0.6542373029,0.7241078656
22,0.7920000118,0.4594532341,0.7118644209,0.8694155098
23,0.7560000113,0.4965459681,0.6644067936,1.2677335057
24,0.728000012,0.5213529998,0.6440678115,1.1999347761
25,0.7160000139,0.560751785,0.7355932321,0.6817441912
26,0.7560000104,0.4826080787,0.6779661131,0.8885600476
27,0.7400000101,0.4929560748,0.7355932336,0.549551119
28,0.7720000106,0.4936470482,0.657627133,0.9613648865
29,0.7480000108,0.5127905056,0.6949152681,0.6458471642
30,0.7800000098,0.4636301073,0.7050847578,0.6388397916
31,0.7360000122,0.5596757947,0.684745777,1.0046379713
32,0.7640000123,0.4681520367,0.7152542512,0.6608072135
33,0.7760000107,0.4815086529,0.6067796779,1.0931711899
34,0.788000012,0.4860997301,0.6915254371,0.6476207845
35,0.7520000124,0.5261557513,0.7457627255,0.5401989477
36,0.7880000103,0.4738636675,0.6983051,0.649624627
37,0.7320000124,0.5090618205,0.6813559464,0.5844847333
38,0.8040000105,0.4385367754,0.7694915359,0.4845912799
39,0.7440000123,0.5099517381,0.7152542515,0.5300454586
40,0.7720000097,0.5059468296,0.7627118763,0.4982323326
41,0.8160000092,0.436761108,0.7084745901,0.6554195717
42,0.7560000134,0.4691478559,0.701694931,0.6948656288
43,0.7880000088,0.4491538671,0.6983051002,0.5882105736
